bd_parent_scandens
8.3318
8.4035
8.5317
8.7202
8.7089
8.7541
8.773
8.8107
8.7919
8.8069
8.6523
8.6146
8.6938
8.7127
8.7466
8.7504
8.7805
8.7428
8.7164
8.8032
8.8258
8.856
8.9012
8.9125
8.8635
8.8258
8.8522
8.8974
8.9427
8.9879
8.9615
8.9238
8.9351
9.0143
9.0558
9.0596
8.9917
8.905
8.9314
8.9465
8.9879
8.9804
9.0219
9.052
9.0407
9.0407
8.9955
8.9992
8.9992
9.0747
9.0747
9.5385
9.4781
9.4517
9.3537
9.2707
9.1199
9.1689
9.1425
9.135
9.1011
9.1727
9.2217
9.2255
9.2821
9.3235
9.3198
9.3198
9.3198
9.3273
9.3725
9.3989
9.4253
9.4593
9.4442
9.4291
9.2632
9.2293
9.1878
9.1425
9.1275
9.1802
9.1765
9.2481
9.2481
9.1991
9.1689
9.1765
9.2406
9.3198
9.3235
9.1991
9.2971
9.2443
9.316
9.2934
9.3914
9.3989
9.5121
9.6176
9.5535
9.4668
9.3725
9.3348
9.3763
9.3839
9.4216
9.4065
9.3348
9.4442
9.4367
9.5083
9.448
9.4781
9.595
9.6101
9.5686
9.6365
9.7119
9.8213
9.825
9.7609
9.6516
9.5988
9.546
9.6516
9.7572
9.8854
10.0023
9.3914
