bd_offspring_scandens
8.419
9.2468
8.1532
8.0089
8.2215
8.3734
8.5025
8.6392
8.7684
8.8139
8.7911
8.9051
8.9203
8.8747
8.943
9.0038
8.981
9.0949
9.2696
9.1633
9.1785
9.1937
9.2772
9.0722
8.9658
8.9658
8.5025
8.4949
8.4949
8.5633
8.6013
8.6468
8.1532
8.3734
8.662
8.6924
8.7456
8.8367
8.8595
8.9658
8.9582
8.8671
8.8671
8.943
9.0646
9.1405
9.2089
9.2848
9.3759
9.4899
9.4519
8.1228
8.2595
8.3127
8.4949
8.6013
8.4646
8.5329
8.7532
8.8823
9.0342
8.6392
8.6772
8.6316
8.7532
8.8291
8.8975
8.9734
9.0494
9.1253
9.1253
9.1253
9.1785
9.2848
9.4595
9.3608
9.2089
9.2544
9.3684
9.3684
9.2316
9.1709
9.2316
9.0342
8.8899
8.8291
8.981
8.8975
10.4089
10.1886
9.7633
9.7329
9.6114
9.5051
9.5127
9.3684
9.6266
9.5354
10.0215
10.0215
9.6266
9.6038
9.4063
9.2316
9.338
9.262
9.262
9.4063
9.4367
9.0342
8.943
8.9203
8.7835
8.7835
9.057
8.9354
8.8975
8.8139
8.8671
9.0873
9.2848
9.2392
9.2924
9.4063
9.3152
9.4899
9.5962
9.6873
9.5203
9.6646
